# Mittlerer Gebietsniederschlag Heiligensee aus DXk-Produkt
# Spalte Datetime: Uhrzeit in UTC am Ende des Messintervalls
# Spalte Niederschlag: Niederschlagshöhe in fünf Minuten (in mm)
# Kontakt: maik.heistermann@uni-potsdam.de

Datetime,Niederschlag
2017-06-29 15:05:00,0.3864
2017-06-29 15:10:00,0.2519
2017-06-29 15:15:00,0.3050
2017-06-29 15:20:00,0.2550
2017-06-29 15:25:00,0.2714
2017-06-29 15:30:00,0.6392
2017-06-29 15:35:00,0.7751
2017-06-29 15:40:00,0.8332
2017-06-29 15:45:00,1.0849
2017-06-29 15:50:00,1.1000
2017-06-29 15:55:00,0.8475
2017-06-29 16:00:00,0.7153
2017-06-29 16:05:00,0.9452
2017-06-29 16:10:00,0.9178
2017-06-29 16:15:00,1.1495
2017-06-29 16:20:00,0.6368
2017-06-29 16:25:00,0.4494
2017-06-29 16:30:00,0.2408
2017-06-29 16:35:00,0.1890
2017-06-29 16:40:00,0.1657
2017-06-29 16:45:00,0.2048
2017-06-29 16:50:00,0.2824
2017-06-29 16:55:00,0.2748
2017-06-29 17:00:00,0.5157
2017-06-29 17:05:00,1.0109
2017-06-29 17:10:00,0.9811
2017-06-29 17:15:00,0.8396
2017-06-29 17:20:00,0.9491
2017-06-29 17:25:00,0.8709
2017-06-29 17:30:00,0.7284
2017-06-29 17:35:00,0.7147
2017-06-29 17:40:00,0.7643
2017-06-29 17:45:00,0.9821
2017-06-29 17:50:00,0.9154
2017-06-29 17:55:00,0.8080
2017-06-29 18:00:00,0.7696
2017-06-29 18:05:00,0.7575
2017-06-29 18:10:00,0.8862
2017-06-29 18:15:00,0.6948
2017-06-29 18:20:00,0.7236
2017-06-29 18:25:00,0.9336
2017-06-29 18:30:00,0.9539
2017-06-29 18:35:00,1.4957
2017-06-29 18:40:00,1.1824
2017-06-29 18:45:00,0.8661
2017-06-29 18:50:00,0.5524
2017-06-29 18:55:00,0.5977
2017-06-29 19:00:00,0.8139
2017-06-29 19:05:00,0.6738
2017-06-29 19:10:00,0.4149
2017-06-29 19:15:00,0.5630
2017-06-29 19:20:00,0.3803
2017-06-29 19:25:00,0.5589
2017-06-29 19:30:00,0.3468
2017-06-29 19:35:00,0.7921
2017-06-29 19:40:00,0.7442
2017-06-29 19:45:00,0.5522
2017-06-29 19:50:00,0.5628
2017-06-29 19:55:00,0.5914
2017-06-29 20:00:00,0.5255
2017-06-29 20:05:00,0.4698
2017-06-29 20:10:00,0.4728
2017-06-29 20:15:00,0.4911
2017-06-29 20:20:00,0.3354
2017-06-29 20:25:00,0.4009
2017-06-29 20:30:00,0.4540
2017-06-29 20:35:00,0.5640
2017-06-29 20:40:00,0.8046
2017-06-29 20:45:00,0.6559
2017-06-29 20:50:00,0.3987
2017-06-29 20:55:00,0.3393
2017-06-29 21:00:00,0.4809
2017-06-29 21:05:00,0.5918
2017-06-29 21:10:00,0.2636
2017-06-29 21:15:00,0.1465
2017-06-29 21:20:00,0.1003
2017-06-29 21:25:00,0.2180
2017-06-29 21:30:00,0.2516
2017-06-29 21:35:00,0.2965
2017-06-29 21:40:00,0.2952
2017-06-29 21:45:00,0.4569
2017-06-29 21:50:00,0.5010
2017-06-29 21:55:00,0.5023
2017-06-29 22:00:00,0.5764
2017-06-29 22:05:00,0.4379
2017-06-29 22:10:00,0.5277
2017-06-29 22:15:00,0.2243
2017-06-29 22:20:00,0.1643
2017-06-29 22:25:00,0.1619
2017-06-29 22:30:00,0.2087
2017-06-29 22:35:00,0.1770
2017-06-29 22:40:00,0.1792
2017-06-29 22:45:00,0.1812
2017-06-29 22:50:00,0.1601
2017-06-29 22:55:00,0.1654
2017-06-29 23:00:00,0.2034
2017-06-29 23:05:00,0.2014
2017-06-29 23:10:00,0.1854
2017-06-29 23:15:00,0.1570
2017-06-29 23:20:00,0.1169
2017-06-29 23:25:00,0.0863
2017-06-29 23:30:00,0.0733
2017-06-29 23:35:00,0.0601
2017-06-29 23:40:00,0.0713
2017-06-29 23:45:00,0.1268
2017-06-29 23:50:00,0.1231
2017-06-29 23:55:00,0.1861
2017-06-30 00:00:00,0.2956
2017-06-30 00:05:00,0.2030
2017-06-30 00:10:00,0.1389
2017-06-30 00:15:00,0.2811
2017-06-30 00:20:00,0.4732
2017-06-30 00:25:00,0.4389
2017-06-30 00:30:00,0.4547
2017-06-30 00:35:00,0.6015
2017-06-30 00:40:00,0.3396
2017-06-30 00:45:00,0.5919
2017-06-30 00:50:00,0.2345
2017-06-30 00:55:00,0.3067
2017-06-30 01:00:00,0.4238
2017-06-30 01:05:00,0.8553
2017-06-30 01:10:00,0.8034
2017-06-30 01:15:00,0.3678
2017-06-30 01:20:00,0.4381
2017-06-30 01:25:00,0.1400
2017-06-30 01:30:00,0.0911
2017-06-30 01:35:00,0.0874
2017-06-30 01:40:00,0.1120
2017-06-30 01:45:00,0.1831
2017-06-30 01:50:00,0.1176
2017-06-30 01:55:00,0.0881
2017-06-30 02:00:00,0.0751
2017-06-30 02:05:00,0.0772
2017-06-30 02:10:00,0.0706
2017-06-30 02:15:00,0.0580
2017-06-30 02:20:00,0.1121
2017-06-30 02:25:00,0.1209
2017-06-30 02:30:00,0.0980
2017-06-30 02:35:00,0.0627
2017-06-30 02:40:00,0.0517
2017-06-30 02:45:00,0.0746
2017-06-30 02:50:00,0.0955
2017-06-30 02:55:00,0.1187
2017-06-30 03:00:00,0.1232
2017-06-30 03:05:00,0.1193
2017-06-30 03:10:00,0.1197
2017-06-30 03:15:00,0.1621
2017-06-30 03:20:00,0.1350
2017-06-30 03:25:00,0.1401
2017-06-30 03:30:00,0.1483
2017-06-30 03:35:00,0.1293
2017-06-30 03:40:00,0.2273
2017-06-30 03:45:00,0.2696
2017-06-30 03:50:00,0.3028
2017-06-30 03:55:00,0.2953
2017-06-30 04:00:00,0.2699
2017-06-30 04:05:00,0.3215
2017-06-30 04:10:00,0.2673
2017-06-30 04:15:00,0.2825
2017-06-30 04:20:00,0.3220
2017-06-30 04:25:00,0.4094
2017-06-30 04:30:00,0.5339
2017-06-30 04:35:00,0.4276
2017-06-30 04:40:00,0.4383
2017-06-30 04:45:00,0.3903
2017-06-30 04:50:00,0.4270
2017-06-30 04:55:00,0.3438
2017-06-30 05:00:00,0.3495
2017-06-30 05:05:00,0.3263
2017-06-30 05:10:00,0.2362
2017-06-30 05:15:00,0.2063
2017-06-30 05:20:00,0.1766
2017-06-30 05:25:00,0.1737
2017-06-30 05:30:00,0.1926
2017-06-30 05:35:00,0.3204
2017-06-30 05:40:00,0.3551
2017-06-30 05:45:00,0.5784
2017-06-30 05:50:00,0.4620
2017-06-30 05:55:00,0.5961
2017-06-30 06:00:00,0.3156
2017-06-30 06:05:00,0.2798
2017-06-30 06:10:00,0.2756
2017-06-30 06:15:00,0.2595
2017-06-30 06:20:00,0.2375
2017-06-30 06:25:00,0.1861
2017-06-30 06:30:00,0.2601
2017-06-30 06:35:00,0.1417
2017-06-30 06:40:00,0.2306
2017-06-30 06:45:00,0.1089
2017-06-30 06:50:00,0.2868
2017-06-30 06:55:00,0.3029
2017-06-30 07:00:00,0.3358
2017-06-30 07:05:00,0.2626
2017-06-30 07:10:00,0.2292
2017-06-30 07:15:00,0.2203
2017-06-30 07:20:00,0.2016
2017-06-30 07:25:00,0.1162
2017-06-30 07:30:00,0.1349
2017-06-30 07:35:00,0.1317
2017-06-30 07:40:00,0.0768
2017-06-30 07:45:00,0.1095
2017-06-30 07:50:00,0.0514
2017-06-30 07:55:00,0.0707
2017-06-30 08:00:00,0.0449
2017-06-30 08:05:00,0.0286
2017-06-30 08:10:00,0.0276
2017-06-30 08:15:00,0.0184
2017-06-30 08:20:00,0.0190
2017-06-30 08:25:00,0.0351
2017-06-30 08:30:00,0.0273
2017-06-30 08:35:00,0.0230
2017-06-30 08:40:00,0.0250
2017-06-30 08:45:00,0.0296
2017-06-30 08:50:00,0.0181
2017-06-30 08:55:00,0.0073
2017-06-30 09:00:00,0.0035
